,volume,faces,edges,vertices,pred_volume,pred_faces,pred_edges,pred_vertices
0,46942.50120239978,33,95,64,346580.1,40.750694,109.17288,72.11003
1,1177.437411417388,18,40,26,129367.57,21.083431,47.86642,31.46087
2,849394.1430763489,44,126,84,1951351.6,56.63792,154.21155,100.67536
3,18557.95068969597,8,20,14,440063.72,10.028225,23.40391,16.628185
4,12578143.142951395,2,6,4,8864396.0,1.8710945,4.061395,3.119646
5,20.7730988893386,4,6,4,1026978.8,4.535491,6.293279,4.6597495
6,74278.89711139325,6,12,8,816448.5,6.7050195,12.494919,8.691788
7,2785458.6416772595,6,12,8,816409.7,6.7046585,12.493757,8.6909895
8,12365.906510565612,1,2,1,417564.78,0.6587062,1.217949,0.124403045
9,2238.4605598545686,128,373,248,2059615.8,152.44745,435.8981,281.50955
10,254.277930312438,6,9,6,808090.8,6.5517654,12.008332,8.354656
11,842.9035987398707,1,2,1,416886.7,0.6585947,1.2168112,0.12408235
12,55751.294839475,40,106,70,893620.44,48.15561,130.28949,85.52113
13,116.95877089609992,70,193,126,5375095.0,84.570496,234.84706,151.8388
14,648.7898000607843,10,26,20,615077.9,11.724588,27.667025,19.70495
15,32031.435210185053,85,244,163,4630259.0,100.818954,283.335,182.73737
16,10870.693626257182,6,14,10,829384.75,6.9530363,13.287779,9.245263
17,952.778088749658,1,2,1,416708.97,0.6585643,1.2165028,0.12399489
18,506078.6249374991,11,24,16,722472.7,12.482285,29.139694,20.532454
19,574.8044897259176,1,2,1,414840.16,0.65825915,1.2133223,0.12311129
20,779.6524459591809,1,2,1,414340.4,0.6581751,1.2124791,0.1228747
21,10805.680382700444,1,2,1,414959.28,0.6582782,1.2135142,0.12316848
22,295904.5394092582,6,12,8,816498.25,6.70593,12.497822,8.693792
23,214003.16229034035,29,84,56,190817.39,36.568268,96.925186,63.933647
24,389619.4257327107,6,12,8,816390.0,6.7044115,12.492972,8.690452
25,165982.52520666356,16,42,28,156031.77,20.169466,45.53979,29.95923
26,1289.149128631565,16,42,28,166519.06,19.822628,44.65829,29.39304
27,734167.9227380765,82,236,156,4749700.0,98.64632,276.82056,178.5921
28,43062.24112907821,1,2,1,415092.72,0.6583009,1.213737,0.123232394
29,1838.137227928907,19,36,24,128202.016,21.645348,49.393948,32.49399
30,38986.70001237408,1,2,1,416719.2,0.6585655,1.2165028,0.12399937
31,3304223.2140763123,82,236,156,4749437.5,98.65111,276.83493,178.60121
32,177.6006303040557,32,88,59,263041.16,39.43383,105.415306,69.680916
33,58801.11695983966,1,2,1,417089.56,0.6586281,1.21713,0.12417878
34,785.0513421443405,9,22,16,478735.47,10.997011,26.258354,18.629705
35,432.70271279460536,1,2,1,417097.72,0.6586287,1.2171608,0.124181025
36,5316.5688446478125,9,22,16,477096.06,10.981574,26.218506,18.599924
37,326249.9422646039,15,32,21,192461.56,19.413713,43.69207,28.784544
38,1926.4967379270963,52,147,97,2787865.8,62.84058,172.09576,111.94897
39,44784.36888659266,33,95,64,346934.12,40.75613,109.188385,72.12001
40,1480555.3956322975,82,236,156,4749702.0,98.64636,276.82068,178.59216
41,55777466.12655804,75,215,142,5236863.5,89.78792,250.27757,161.69452
42,2.1985745147824987,4,6,4,1027584.75,4.5352135,6.2930465,4.6598797
43,44.02720612724611,4,6,4,1027390.06,4.535305,6.293132,4.659846
44,54447.64679540384,14,30,22,364567.28,17.484901,39.320873,26.264444
45,6530.10396306033,9,22,16,477096.06,10.981562,26.21847,18.599897
46,98634.8464697532,6,12,8,816423.3,6.704918,12.494586,8.691559
47,67.88644301784178,9,23,16,549878.75,11.398369,27.061758,19.24649
48,148724.06832262312,99,291,194,3572767.5,120.16422,341.3306,219.70035
49,1093964.5459375037,11,24,16,722448.2,12.48198,29.139097,20.532179
50,735.6639551342895,1,2,1,415303.1,0.65833664,1.2141037,0.12333331
51,3734.842416721767,10,26,20,615024.75,11.724328,27.666542,19.704586
52,189552.90939690924,6,12,8,816435.56,6.7050943,12.495149,8.691945
53,455713.0740109384,24,68,49,287151.6,30.122652,76.61012,50.27776
54,11848.899023368624,1,2,1,415264.97,0.6583295,1.2140249,0.12331537
55,2537.3859163080338,1,2,1,414461.6,0.658196,1.2126882,0.12293188
56,3431.260743708856,6,10,7,808333.2,6.5553255,12.019622,8.362402
57,14521824.478903877,2,6,4,8864140.0,1.8710393,4.061436,3.119617
58,344742.58200408897,6,12,8,816398.1,6.7045283,12.493345,8.690707
59,73976.13485231456,6,12,8,816496.9,6.705908,12.497749,8.693744
60,123016.54367007843,17,39,26,143403.28,20.561468,46.528336,30.596783
61,1289.8272528973553,6,14,10,829384.06,6.952997,13.28766,9.245169
62,27719.92695597898,9,22,16,477089.94,10.981504,26.21832,18.599787
63,52685.55617358489,1,2,1,415087.28,0.6583003,1.2137233,0.123229034
64,61777.2245429359,99,291,194,3571839.0,120.18138,341.38205,219.73322
65,197.3314569338037,1,2,1,414603.22,0.6582192,1.2129178,0.122998044
66,342.99330041669225,4,6,4,1026643.9,4.5356455,6.293406,4.659679
67,37367.81082919001,75,219,146,5153266.0,91.31117,254.84517,164.60103
68,2028.13468213974,52,147,97,2787859.0,62.840534,172.09564,111.9489
69,726733.5142718325,50,144,96,2447127.8,60.3171,164.8184,107.362366
70,127.4568321186418,32,88,59,263035.72,39.433727,105.415,69.680725
71,48597.73794237582,33,95,64,346920.5,40.755905,109.18775,72.119606
72,655.0197431428927,1,2,1,414884.4,0.6582657,1.2133908,0.12313596
73,1887.2957687010287,9,22,16,477102.2,10.981616,26.218615,18.60001
74,2357.639863619944,11,23,16,702064.44,12.264029,28.701052,20.33492
75,3470.27486707662,1,2,1,416663.38,0.6585578,1.2164308,0.1239747
76,46628.4722784843,1,2,1,415030.78,0.65829074,1.2136513,0.12320324
77,195333.481478502,24,64,42,291585.75,29.821972,75.65612,49.644
78,5050.923667083032,128,373,248,2055768.5,152.54411,436.17838,281.69376
79,13337.3232503768,24,68,49,287231.94,30.11723,76.59291,50.266323
80,354.42641043058194,4,6,4,1027153.1,4.5354133,6.293221,4.659791
81,58845.093289243625,6,12,8,816448.5,6.70518,12.495426,8.692144
82,205514.6722980854,33,94,64,332474.94,40.539436,108.56823,71.72074
83,1989.3159738534048,9,22,16,477098.78,10.9816,26.21857,18.599977
84,360974.1862909648,82,236,156,4749699.5,98.646355,276.82065,178.59215
85,1284186.074892487,6,12,8,816409.06,6.704667,12.493788,8.691012
